date,new_price_usd,used_price_usd,used_source
2026-05-09,940.00,,
2026-05-10,940.00,,
2026-05-11,940.00,,
2026-05-12,940.00,,
2026-05-13,940.00,,
2026-05-14,940.00,,
2026-05-15,940.00,,
2026-05-16,940.00,,
2026-05-17,940.00,,
2026-05-18,940.00,,
2026-05-19,940.00,,
2026-05-20,940.00,,
2026-05-21,940.00,,
2026-05-22,940.00,,
2026-05-23,940.00,,
2026-05-24,940.00,,
2026-05-25,940.00,,
2026-05-26,940.00,,
2026-05-27,940.00,,
2026-05-28,940.00,,
2026-05-29,940.00,,
2026-05-30,940.00,,
2026-05-31,940.00,,
2026-06-01,940.00,,
2026-06-02,940.00,,
2026-06-03,940.00,,
2026-06-04,940.00,,
2026-06-05,940.00,,
2026-06-06,940.00,,
2026-06-07,940.00,,
2026-06-08,940.00,,
2026-06-09,940.00,,
2026-06-10,940.00,,
2026-06-11,940.00,,
2026-06-12,940.00,,
2026-06-13,940.00,,
2026-06-14,940.00,,
2026-06-15,940.00,,
2026-06-16,940.00,,
2026-06-17,940.00,,
2026-06-18,940.00,,
2026-06-19,940.00,,
2026-06-20,940.00,,
2026-06-21,940.00,,
2026-06-22,940.00,,
2026-06-23,940.00,,
2026-06-24,940.00,,
2026-06-25,940.00,,
2026-06-26,940.00,,
2026-06-27,940.00,,
2026-06-28,940.00,,
2026-06-29,940.00,,
2026-06-30,940.00,,
2026-07-01,940.00,,
2026-07-02,940.00,,
2026-07-03,940.00,,
2026-07-04,940.00,,
2026-07-05,940.00,,
2026-07-06,940.00,,
2026-07-07,940.00,,
2026-07-08,940.00,,
2026-07-09,940.00,,
2026-07-10,940.00,,
2026-07-11,940.00,,
2026-07-12,940.00,,
2026-07-13,940.00,,
2026-07-14,940.00,,
2026-07-15,940.00,,
2026-07-16,940.00,,
2026-07-17,940.00,,
2026-07-18,940.00,,
2026-07-19,940.00,,
2026-07-20,940.00,,
2026-07-21,940.00,,
2026-07-22,940.00,,
2026-07-23,940.00,,
2026-07-24,940.00,,
2026-07-25,940.00,,
2026-07-26,940.00,,
2026-07-27,940.00,,
2026-07-28,940.00,,
2026-07-29,940.00,,
2026-07-30,940.00,,
2026-07-31,940.00,,
2026-08-01,940.00,,
2026-08-02,940.00,,
2026-08-03,940.00,,
2026-08-04,940.00,,
2026-08-05,940.00,,
2026-08-06,940.00,,
2026-08-07,940.00,,
2026-08-08,940.00,,
2026-08-09,940.00,,
2026-08-10,940.00,,
2026-08-11,940.00,,
2026-08-12,940.00,,
2026-08-13,940.00,,
2026-08-14,940.00,,
2026-08-15,940.00,,
2026-08-16,940.00,,
2026-08-17,940.00,,
2026-08-18,940.00,,
2026-08-19,940.00,,
2026-08-20,940.00,,
2026-08-21,940.00,,
2026-08-22,940.00,,
2026-08-23,940.00,,
2026-08-24,940.00,,
2026-08-25,940.00,,
2026-08-26,940.00,,
2026-08-27,940.00,,
