date,new_price_usd,used_price_usd,used_source
2026-05-09,300.00,,
2026-05-10,300.00,,
2026-05-11,300.00,,
2026-05-12,300.00,,
2026-05-13,300.00,,
2026-05-14,300.00,,
2026-05-15,300.00,,
2026-05-16,300.00,,
2026-05-17,300.00,,
2026-05-18,300.00,,
2026-05-19,300.00,,
2026-05-20,300.00,,
2026-05-21,300.00,,
2026-05-22,300.00,,
2026-05-23,300.00,,
2026-05-24,300.00,,
2026-05-25,300.00,,
2026-05-26,300.00,,
2026-05-27,300.00,,
2026-05-28,300.00,,
2026-05-29,300.00,,
2026-05-30,300.00,,
2026-05-31,300.00,,
2026-06-01,300.00,,
2026-06-02,300.00,,
2026-06-03,300.00,,
2026-06-04,300.00,,
2026-06-05,300.00,,
2026-06-06,300.00,,
2026-06-07,300.00,,
2026-06-08,300.00,,
2026-06-09,300.00,,
2026-06-10,300.00,,
2026-06-11,300.00,,
2026-06-12,300.00,,
2026-06-13,300.00,,
2026-06-14,300.00,,
