date,new_price_usd,used_price_usd,used_source
2026-05-09,4179.00,,
2026-05-10,4179.00,,
2026-05-11,4179.00,,
2026-05-12,4179.00,,
2026-05-13,4179.00,,
2026-05-14,4179.00,,
2026-05-15,4179.00,,
2026-05-16,4179.00,,
2026-05-17,4179.00,,
2026-05-18,4179.00,,
2026-05-19,4179.00,,
2026-05-20,4179.00,,
2026-05-21,4179.00,,
2026-05-22,4179.00,,
2026-05-23,4179.00,,
2026-05-24,4179.00,,
2026-05-25,4179.00,,
2026-05-26,4179.00,,
2026-05-27,4179.00,,
2026-05-28,4179.00,,
2026-05-29,4179.00,,
2026-05-30,4179.00,,
2026-05-31,4179.00,,
2026-06-01,4179.00,,
2026-06-02,4179.00,,
2026-06-03,4179.00,,
2026-06-04,4179.00,,
2026-06-05,4179.00,,
2026-06-06,4179.00,,
2026-06-07,4179.00,,
2026-06-08,4179.00,,
2026-06-09,4179.00,,
2026-06-10,4179.00,,
2026-06-11,4179.00,,
2026-06-12,4179.00,,
2026-06-13,4179.00,,
2026-06-14,4179.00,,
2026-06-15,4179.00,,
2026-06-16,4179.00,,
2026-06-17,4179.00,,
2026-06-18,4179.00,,
2026-06-19,4179.00,,
2026-06-20,4179.00,,
2026-06-21,4179.00,,
2026-06-22,4179.00,,
2026-06-23,4179.00,,
2026-06-24,4179.00,,
2026-06-25,4179.00,,
2026-06-26,4179.00,,
2026-06-27,4179.00,,
2026-06-28,4179.00,,
2026-06-29,4179.00,,
2026-06-30,4179.00,,
2026-07-01,4179.00,,
