date,new_price_usd,used_price_usd,used_source
2026-05-09,620.00,,
2026-05-10,620.00,,
2026-05-11,620.00,,
2026-05-12,620.00,,
2026-05-13,620.00,,
2026-05-14,620.00,,
2026-05-15,620.00,,
2026-05-16,620.00,,
2026-05-17,620.00,,
2026-05-18,620.00,,
2026-05-19,620.00,,
2026-05-20,620.00,,
2026-05-21,620.00,,
2026-05-22,620.00,,
2026-05-23,620.00,,
2026-05-24,620.00,,
2026-05-25,620.00,,
2026-05-26,620.00,,
2026-05-27,620.00,,
2026-05-28,620.00,,
2026-05-29,620.00,,
2026-05-30,620.00,,
2026-05-31,620.00,,
2026-06-01,620.00,,
2026-06-02,620.00,,
2026-06-03,620.00,,
2026-06-04,620.00,,
2026-06-05,620.00,,
2026-06-06,620.00,,
2026-06-07,620.00,,
2026-06-08,620.00,,
2026-06-09,620.00,,
2026-06-10,620.00,,
2026-06-11,620.00,,
2026-06-12,620.00,,
2026-06-13,620.00,,
2026-06-14,620.00,,
2026-06-15,620.00,,
2026-06-16,620.00,,
2026-06-17,620.00,,
2026-06-18,620.00,,
2026-06-19,620.00,,
2026-06-20,620.00,,
