date,new_price_usd,used_price_usd,used_source
2026-05-09,7550.00,,
2026-05-10,7550.00,,
2026-05-11,7550.00,,
2026-05-12,7550.00,,
2026-05-13,7550.00,,
2026-05-14,7550.00,,
2026-05-15,7550.00,,
2026-05-16,7550.00,,
2026-05-17,7550.00,,
2026-05-18,7550.00,,
2026-05-19,7550.00,,
2026-05-20,7550.00,,
2026-05-21,7550.00,,
2026-05-22,7550.00,,
2026-05-23,7550.00,,
2026-05-24,7550.00,,
2026-05-25,7550.00,,
2026-05-26,7550.00,,
2026-05-27,6200.00,,
2026-05-28,6200.00,,
2026-05-29,6200.00,,
2026-05-30,6200.00,,
2026-05-31,6200.00,,
2026-06-01,6200.00,,
2026-06-02,6200.00,,
2026-06-03,6200.00,,
2026-06-04,6100.00,,
