date,new_price_usd,used_price_usd,used_source
2026-05-09,249.00,,
2026-05-10,249.00,,
2026-05-11,249.00,,
2026-05-12,249.00,,
2026-05-13,249.00,,
2026-05-14,249.00,,
2026-05-15,249.00,,
2026-05-16,249.00,,
2026-05-17,249.00,,
2026-05-18,249.00,,
2026-05-19,249.00,,
2026-05-20,249.00,,
2026-05-21,249.00,,
2026-05-22,249.00,,
2026-05-23,249.00,,
2026-05-24,249.00,,
2026-05-25,249.00,,
2026-05-26,249.00,,
2026-05-27,249.00,,
2026-05-28,249.00,,
2026-05-29,249.00,,
2026-05-30,249.00,,
2026-05-31,249.00,,
2026-06-01,249.00,,
2026-06-02,249.00,,
2026-06-03,249.00,,
2026-06-04,249.00,,
2026-06-05,249.00,,
