date,new_price_usd,used_price_usd,used_source
2026-05-09,350.00,,
2026-05-10,350.00,,
2026-05-11,350.00,,
2026-05-12,350.00,,
2026-05-13,350.00,,
2026-05-14,350.00,,
2026-05-15,350.00,,
2026-05-16,350.00,,
2026-05-17,350.00,,
2026-05-18,350.00,,
2026-05-19,350.00,,
2026-05-20,350.00,,
2026-05-21,350.00,,
2026-05-22,350.00,,
2026-05-23,350.00,,
2026-05-24,350.00,,
2026-05-25,350.00,,
2026-05-26,350.00,,
2026-05-27,350.00,,
2026-05-28,350.00,,
2026-05-29,350.00,,
2026-05-30,350.00,,
2026-05-31,350.00,,
2026-06-01,350.00,,
2026-06-02,350.00,,
2026-06-03,350.00,,
2026-06-04,350.00,,
2026-06-05,350.00,,
2026-06-06,350.00,,
2026-06-07,350.00,,
2026-06-08,350.00,,
2026-06-09,350.00,,
2026-06-10,350.00,,
2026-06-11,350.00,,
2026-06-12,350.00,,
2026-06-13,350.00,,
2026-06-14,350.00,,
2026-06-15,350.00,,
2026-06-16,350.00,,
2026-06-17,350.00,,
2026-06-18,350.00,,
2026-06-19,350.00,,
2026-06-20,350.00,,
2026-06-21,350.00,,
2026-06-22,350.00,,
2026-06-23,350.00,,
2026-06-24,350.00,,
2026-06-25,350.00,,
2026-06-26,350.00,,
2026-06-27,350.00,,
2026-06-28,350.00,,
2026-06-29,350.00,,
2026-06-30,350.00,,
2026-07-01,350.00,,
2026-07-02,350.00,,
2026-07-03,350.00,,
2026-07-04,350.00,,
2026-07-05,350.00,,
2026-07-06,350.00,,
2026-07-07,350.00,,
2026-07-08,350.00,,
2026-07-09,350.00,,
2026-07-10,350.00,,
2026-07-11,350.00,,
2026-07-12,350.00,,
2026-07-13,350.00,,
