date,new_price_usd,used_price_usd,used_source
2026-05-09,8268.00,,
2026-05-10,8268.00,,
2026-05-11,8268.00,,
2026-05-12,8268.00,,
2026-05-13,8268.00,,
2026-05-14,8268.00,,
2026-05-15,8268.00,,
2026-05-16,8268.00,,
2026-05-17,8268.00,,
2026-05-18,8268.00,,
2026-05-19,8268.00,,
2026-05-20,8268.00,,
2026-05-21,8268.00,,
2026-05-22,8268.00,,
2026-05-23,8268.00,,
2026-05-24,8268.00,,
2026-05-25,8268.00,,
2026-05-26,8268.00,,
2026-05-27,8268.00,,
2026-05-28,8268.00,,
2026-05-29,8268.00,,
2026-05-30,8268.00,,
2026-05-31,8268.00,,
2026-06-01,8268.00,,
2026-06-02,8268.00,,
2026-06-03,8268.00,,
2026-06-04,8268.00,,
2026-06-05,8268.00,,
2026-06-06,8268.00,,
2026-06-07,8268.00,,
2026-06-08,8268.00,,
2026-06-09,8268.00,,
2026-06-10,8268.00,,
2026-06-11,8268.00,,
2026-06-12,8268.00,,
2026-06-13,8268.00,,
2026-06-14,8268.00,,
2026-06-15,8268.00,,
2026-06-16,8268.00,,
2026-06-17,8268.00,,
2026-06-18,8268.00,,
2026-06-19,8268.00,,
2026-06-20,8268.00,,
2026-06-21,8268.00,,
2026-06-22,8268.00,,
2026-06-23,8268.00,,
2026-06-24,8268.00,,
2026-06-25,8268.00,,
2026-06-26,8268.00,,
2026-06-27,8268.00,,
2026-06-28,8268.00,,
2026-06-29,8268.00,,
2026-06-30,8268.00,,
