date,new_price_usd,used_price_usd,used_source
2026-05-12,4999.00,,
2026-05-13,4999.00,,
2026-05-14,4999.00,,
2026-05-15,4999.00,,
2026-05-16,4999.00,,
2026-05-17,4999.00,,
2026-05-18,4999.00,,
2026-05-20,4999.00,,
2026-05-21,4999.00,,
2026-05-22,4999.00,,
2026-05-23,4999.00,,
2026-05-24,4999.00,,
2026-05-25,4999.00,,
2026-05-26,4999.00,,
2026-05-27,4999.00,,
2026-05-28,4999.00,,
2026-05-29,4999.00,,
2026-05-30,4999.00,,
2026-05-31,4999.00,,
2026-06-01,4999.00,,
2026-06-02,4999.00,,
2026-06-03,4999.00,,
2026-06-04,4999.00,,
2026-06-08,4999.00,,
