date,new_price_usd,used_price_usd,used_source
2026-05-09,9000.00,,
2026-05-10,9000.00,,
2026-05-11,9000.00,,
2026-05-12,9000.00,,
2026-05-13,9000.00,,
2026-05-14,9000.00,,
2026-05-15,9000.00,,
2026-05-16,9000.00,,
2026-05-17,9000.00,,
2026-05-18,9000.00,,
2026-05-19,9000.00,,
2026-05-20,9000.00,,
2026-05-21,9000.00,,
2026-05-22,9000.00,,
2026-05-23,9000.00,,
2026-05-24,9000.00,,
2026-05-25,9000.00,,
2026-05-26,9000.00,,
2026-05-27,9000.00,,
2026-05-28,9000.00,,
2026-05-29,9000.00,,
2026-05-30,9000.00,,
2026-05-31,9000.00,,
2026-06-01,9000.00,,
2026-06-02,9000.00,,
2026-06-03,9000.00,,
2026-06-04,9000.00,,
2026-06-05,9000.00,,
2026-06-06,9000.00,,
2026-06-07,9000.00,,
2026-06-08,9000.00,,
2026-06-09,9000.00,,
2026-06-10,9000.00,,
2026-06-11,9000.00,,
2026-06-12,9000.00,,
2026-06-13,9000.00,,
2026-06-14,9000.00,,
