date,new_price_usd,used_price_usd,used_source
2026-05-09,680.00,,
2026-05-10,680.00,,
2026-05-11,680.00,,
2026-05-12,710.00,,
2026-05-13,710.00,,
2026-05-14,710.00,,
2026-05-15,710.00,,
2026-05-16,710.00,,
2026-05-17,710.00,,
2026-05-18,710.00,,
2026-05-19,680.00,,
2026-05-20,710.00,,
2026-05-21,710.00,,
2026-05-22,710.00,,
2026-05-23,710.00,,
2026-05-24,710.00,,
2026-05-25,710.00,,
2026-05-26,710.00,,
2026-05-27,710.00,,
2026-05-28,710.00,,
2026-05-29,710.00,,
2026-05-30,710.00,,
2026-05-31,710.00,,
2026-06-01,710.00,,
2026-06-02,710.00,,
