date,new_price_usd,used_price_usd,used_source
2026-05-09,1699.00,,
2026-05-10,1699.00,,
2026-05-11,1699.00,,
2026-05-12,1699.00,,
2026-05-13,1699.00,,
2026-05-14,1699.00,,
2026-05-15,1699.00,,
2026-05-16,1699.00,,
2026-05-17,1699.00,,
2026-05-18,1699.00,,
2026-05-19,1699.00,,
2026-05-20,1699.00,,
2026-05-21,1699.00,,
2026-05-22,1699.00,,
2026-05-23,1699.00,,
2026-05-24,1699.00,,
2026-05-25,1699.00,,
2026-05-26,1699.00,,
2026-05-27,1699.00,,
2026-05-28,1699.00,,
2026-05-29,1699.00,,
2026-05-30,1699.00,,
2026-05-31,1699.00,,
2026-06-01,1699.00,,
2026-06-02,1699.00,,
2026-06-03,1699.00,,
2026-06-04,1699.00,,
2026-06-05,1699.00,,
2026-06-06,1699.00,,
2026-06-07,1699.00,,
2026-06-08,1699.00,,
2026-06-09,1699.00,,
2026-06-10,1699.00,,
2026-06-11,1699.00,,
2026-06-12,1699.00,,
2026-06-13,1699.00,,
2026-06-14,1699.00,,
2026-06-15,1699.00,,
2026-06-16,1699.00,,
2026-06-17,1699.00,,
2026-06-18,1699.00,,
