date,new_price_usd,used_price_usd,used_source
2026-05-09,305.00,,
2026-05-10,305.00,,
2026-05-11,305.00,,
2026-05-12,305.00,,
2026-05-13,305.00,,
2026-05-14,305.00,,
2026-05-15,305.00,,
2026-05-16,305.00,,
2026-05-17,305.00,,
2026-05-18,305.00,,
2026-05-19,305.00,,
2026-05-20,305.00,,
2026-05-21,305.00,,
2026-05-22,305.00,,
2026-05-23,305.00,,
2026-05-24,305.00,,
2026-05-25,305.00,,
2026-05-26,305.00,,
2026-05-27,305.00,,
2026-05-28,305.00,,
2026-05-29,305.00,,
2026-05-30,305.00,,
