date,new_price_usd,used_price_usd,used_source
2026-05-09,737.00,,
2026-05-10,737.00,,
2026-05-11,737.00,,
2026-05-12,737.00,,
2026-05-13,737.00,,
2026-05-14,737.00,,
2026-05-15,737.00,,
2026-05-16,737.00,,
2026-05-17,737.00,,
2026-05-18,737.00,,
2026-05-19,737.00,,
2026-05-20,737.00,,
2026-05-21,737.00,,
2026-05-22,737.00,,
2026-05-23,737.00,,
2026-05-24,737.00,,
2026-05-25,737.00,,
2026-05-26,737.00,,
2026-05-27,737.00,,
2026-05-28,737.00,,
2026-05-29,737.00,,
2026-05-30,737.00,,
2026-05-31,737.00,,
2026-06-01,737.00,,
2026-06-02,737.00,,
2026-06-03,737.00,,
2026-06-04,737.00,,
2026-06-05,737.00,,
2026-06-06,737.00,,
