date,new_price_usd,used_price_usd,used_source
2026-05-09,229.00,,
2026-05-10,229.00,,
2026-05-11,229.00,,
2026-05-12,229.00,,
2026-05-13,229.00,,
2026-05-14,229.00,,
2026-05-15,229.00,,
2026-05-16,229.00,,
2026-05-17,229.00,,
2026-05-18,229.00,,
2026-05-19,229.00,,
2026-05-20,229.00,,
2026-05-21,229.00,,
2026-05-22,229.00,,
2026-05-23,229.00,,
2026-05-24,229.00,,
2026-05-25,229.00,,
2026-05-26,229.00,,
2026-05-27,229.00,,
2026-05-28,229.00,,
2026-05-29,229.00,,
2026-05-30,229.00,,
2026-05-31,229.00,,
2026-06-01,229.00,,
2026-06-02,229.00,,
2026-06-03,229.00,,
2026-06-04,229.00,,
2026-06-05,229.00,,
2026-06-06,229.00,,
2026-06-07,229.00,,
2026-06-08,229.00,,
2026-06-09,229.00,,
2026-06-10,229.00,,
2026-06-11,229.00,,
2026-06-12,229.00,,
2026-06-13,229.00,,
2026-06-14,229.00,,
2026-06-15,229.00,,
2026-06-16,229.00,,
2026-06-17,229.00,,
