date,new_price_usd,used_price_usd,used_source
2026-05-09,6499.00,,
2026-05-10,6499.00,,
2026-05-11,6499.00,,
2026-05-12,6499.00,,
2026-05-13,6499.00,,
2026-05-14,6499.00,,
2026-05-15,6499.00,,
2026-05-16,6499.00,,
2026-05-17,6499.00,,
2026-05-18,6499.00,,
2026-05-19,6499.00,,
2026-05-20,6499.00,,
2026-05-21,6499.00,,
2026-05-22,6499.00,,
2026-05-23,6499.00,,
2026-05-24,6499.00,,
2026-05-25,6499.00,,
2026-05-26,6499.00,,
2026-05-27,6499.00,,
2026-05-28,6499.00,,
2026-05-29,6499.00,,
2026-05-30,6499.00,,
2026-05-31,6499.00,,
2026-06-01,6499.00,,
2026-06-02,6499.00,,
2026-06-03,6499.00,,
2026-06-04,6499.00,,
2026-06-05,6499.00,,
2026-06-06,6499.00,,
2026-06-07,6499.00,,
2026-06-08,6499.00,,
2026-06-09,6499.00,,
2026-06-10,6499.00,,
2026-06-11,6499.00,,
2026-06-12,6499.00,,
2026-06-13,6499.00,,
2026-06-14,6499.00,,
2026-06-15,6499.00,,
2026-06-16,6499.00,,
2026-06-17,6499.00,,
2026-06-18,6499.00,,
2026-06-19,6499.00,,
2026-06-20,6499.00,,
2026-06-21,6499.00,,
2026-06-22,6499.00,,
2026-06-23,6499.00,,
2026-06-24,6499.00,,
