date,new_price_usd,used_price_usd,used_source
2026-05-09,19030.00,,
2026-05-10,19030.00,,
2026-05-11,19030.00,,
2026-05-12,19030.00,,
2026-05-13,19030.00,,
2026-05-14,19030.00,,
2026-05-15,19030.00,,
2026-05-16,19030.00,,
2026-05-17,19030.00,,
2026-05-18,19030.00,,
2026-05-19,19030.00,,
2026-05-20,19030.00,,
2026-05-21,19030.00,,
2026-05-22,19030.00,,
2026-05-23,19030.00,,
2026-05-24,19030.00,,
2026-05-25,19030.00,,
2026-05-26,19030.00,,
2026-05-27,19030.00,,
2026-05-28,19030.00,,
2026-05-29,19030.00,,
2026-05-30,19030.00,,
2026-05-31,19030.00,,
2026-06-01,19030.00,,
2026-06-02,19030.00,,
2026-06-03,19030.00,,
2026-06-04,19030.00,,
2026-06-05,19030.00,,
2026-06-06,19030.00,,
2026-06-07,19030.00,,
2026-06-08,19030.00,,
2026-06-09,19030.00,,
2026-06-10,19030.00,,
2026-06-11,19030.00,,
2026-06-12,19030.00,,
2026-06-13,19030.00,,
2026-06-14,19030.00,,
2026-06-15,19030.00,,
2026-06-16,19030.00,,
2026-06-17,19030.00,,
2026-06-18,19030.00,,
2026-06-19,19030.00,,
2026-06-20,19030.00,,
2026-06-21,19030.00,,
2026-06-22,19030.00,,
2026-06-23,19030.00,,
2026-06-24,19030.00,,
2026-06-25,19030.00,,
2026-06-26,19030.00,,
2026-06-27,19030.00,,
2026-06-28,19030.00,,
2026-06-29,19030.00,,
2026-06-30,19030.00,,
2026-07-01,19030.00,,
2026-07-02,19030.00,,
2026-07-03,19030.00,,
2026-07-04,19030.00,,
2026-07-05,19030.00,,
2026-07-06,19030.00,,
2026-07-07,19030.00,,
2026-07-08,19030.00,,
2026-07-09,19030.00,,
2026-07-10,19030.00,,
2026-07-11,19030.00,,
2026-07-12,19030.00,,
2026-07-13,19030.00,,
2026-07-14,19030.00,,
2026-07-15,19030.00,,
2026-07-16,19030.00,,
2026-07-17,19030.00,,
2026-07-18,19030.00,,
2026-07-19,19030.00,,
2026-07-20,19030.00,,
2026-07-21,19030.00,,
2026-07-22,19030.00,,
2026-07-23,19030.00,,
2026-07-24,19030.00,,
2026-07-25,19030.00,,
2026-07-26,19030.00,,
2026-07-27,19030.00,,
2026-07-28,19030.00,,
2026-07-29,19030.00,,
2026-07-30,19030.00,,
2026-07-31,19030.00,,
2026-08-01,19030.00,,
2026-08-02,19030.00,,
2026-08-03,19030.00,,
2026-08-04,19030.00,,
2026-08-05,19030.00,,
2026-08-06,19030.00,,
2026-08-07,19030.00,,
2026-08-08,19030.00,,
2026-08-09,19030.00,,
2026-08-10,19030.00,,
2026-08-11,19030.00,,
2026-08-12,19030.00,,
2026-08-13,19030.00,,
2026-08-14,19030.00,,
2026-08-15,19030.00,,
2026-08-16,19030.00,,
2026-08-17,19030.00,,
2026-08-18,19030.00,,
2026-08-19,19030.00,,
2026-08-20,19030.00,,
2026-08-21,19030.00,,
2026-08-22,19030.00,,
2026-08-23,19030.00,,
2026-08-24,19030.00,,
2026-08-25,19030.00,,
2026-08-26,19030.00,,
2026-08-27,19030.00,,
2026-08-28,19030.00,,
2026-08-29,19030.00,,
2026-08-30,19030.00,,
