date,new_price_usd,used_price_usd,used_source
2026-05-09,3800.00,,
2026-05-10,3800.00,,
2026-05-11,3800.00,,
2026-05-12,3800.00,,
2026-05-13,3800.00,,
2026-05-14,3800.00,,
2026-05-15,3800.00,,
2026-05-16,3800.00,,
2026-05-17,3800.00,,
2026-05-18,3800.00,,
2026-05-19,3800.00,,
2026-05-20,3800.00,,
2026-05-21,3800.00,,
2026-05-22,3800.00,,
2026-05-23,3800.00,,
2026-05-24,3800.00,,
2026-05-25,3800.00,,
2026-05-26,3800.00,,
2026-05-27,3800.00,,
2026-05-28,3800.00,,
2026-05-29,3800.00,,
2026-05-30,3800.00,,
2026-05-31,3800.00,,
2026-06-01,3800.00,,
2026-06-02,3800.00,,
2026-06-03,3800.00,,
2026-06-04,3800.00,,
2026-06-05,3800.00,,
2026-06-06,3800.00,,
2026-06-07,3800.00,,
2026-06-08,3800.00,,
2026-06-09,3800.00,,
2026-06-10,3800.00,,
2026-06-11,3800.00,,
2026-06-12,3800.00,,
2026-06-13,3800.00,,
2026-06-14,3800.00,,
2026-06-15,3800.00,,
2026-06-16,3800.00,,
