date,new_price_usd,used_price_usd,used_source
2026-05-09,7160.00,,
2026-05-10,7160.00,,
2026-05-11,7160.00,,
2026-05-12,7160.00,,
2026-05-13,7160.00,,
2026-05-14,7160.00,,
2026-05-15,7160.00,,
2026-05-16,7160.00,,
2026-05-17,7160.00,,
2026-05-18,7160.00,,
2026-05-19,7160.00,,
2026-05-20,7160.00,,
2026-05-21,7160.00,,
2026-05-22,7160.00,,
2026-05-23,7160.00,,
2026-05-24,7160.00,,
2026-05-25,7160.00,,
2026-05-26,7160.00,,
2026-05-27,7160.00,,
2026-05-28,7160.00,,
2026-05-29,7160.00,,
2026-05-30,7160.00,,
2026-05-31,7160.00,,
2026-06-01,7160.00,,
2026-06-02,7160.00,,
2026-06-03,7160.00,,
2026-06-04,7160.00,,
2026-06-05,7160.00,,
2026-06-06,7160.00,,
2026-06-07,7160.00,,
2026-06-08,7160.00,,
2026-06-09,7160.00,,
2026-06-10,7160.00,,
2026-06-11,7160.00,,
2026-06-12,7160.00,,
