date,new_price_usd,used_price_usd,used_source
2026-06-16,1399.00,,
2026-06-17,1399.00,,
2026-06-18,1399.00,,
2026-06-19,1399.00,,
2026-06-20,1399.00,,
2026-06-21,1399.00,,
2026-06-22,1399.00,,
2026-06-23,1399.00,,
2026-06-24,1399.00,,
2026-06-25,1399.00,,
2026-06-26,1399.00,,
2026-06-27,1399.00,,
2026-06-28,1399.00,,
2026-06-29,1399.00,,
2026-06-30,1399.00,,
2026-07-01,1399.00,,
2026-07-02,1399.00,,
2026-07-03,1399.00,,
2026-07-04,1399.00,,
2026-07-05,1399.00,,
2026-07-06,1399.00,,
2026-07-07,1399.00,,
2026-07-08,1399.00,,
2026-07-09,1399.00,,
2026-07-10,1399.00,,
2026-07-11,1399.00,,
2026-07-12,1399.00,,
2026-07-13,1399.00,,
2026-07-14,1399.00,,
2026-07-15,1399.00,,
2026-07-16,1399.00,,
2026-07-17,1399.00,,
2026-07-18,1399.00,,
2026-07-19,1399.00,,
2026-07-20,1399.00,,
2026-07-21,1399.00,,
2026-07-22,1399.00,,
2026-07-23,1399.00,,
