date,new_price_usd,used_price_usd,used_source
2026-05-09,550.00,,
2026-05-10,550.00,,
2026-05-11,550.00,,
2026-05-12,550.00,,
2026-05-13,550.00,,
2026-05-14,550.00,,
2026-05-15,550.00,,
2026-05-16,550.00,,
2026-05-17,550.00,,
2026-05-18,550.00,,
2026-05-19,550.00,,
2026-05-20,550.00,,
2026-05-21,550.00,,
2026-05-22,550.00,,
2026-05-23,550.00,,
2026-05-24,550.00,,
2026-05-25,550.00,,
2026-05-26,550.00,,
2026-05-27,550.00,,
2026-05-28,550.00,,
2026-05-29,550.00,,
2026-05-30,550.00,,
2026-05-31,550.00,,
2026-06-01,550.00,,
2026-06-02,550.00,,
2026-06-03,550.00,,
2026-06-04,550.00,,
2026-06-05,550.00,,
2026-06-06,550.00,,
2026-06-07,550.00,,
2026-06-08,550.00,,
2026-06-09,550.00,,
2026-06-10,550.00,,
2026-06-11,550.00,,
2026-06-12,550.00,,
2026-06-13,550.00,,
2026-06-14,550.00,,
2026-06-15,550.00,,
2026-06-16,550.00,,
2026-06-17,550.00,,
2026-06-18,550.00,,
2026-06-19,550.00,,
2026-06-20,550.00,,
2026-06-21,550.00,,
2026-06-22,550.00,,
2026-06-23,550.00,,
2026-06-24,550.00,,
2026-06-25,550.00,,
2026-06-26,550.00,,
2026-06-27,550.00,,
2026-06-28,550.00,,
2026-06-29,550.00,,
2026-06-30,550.00,,
2026-07-01,550.00,,
2026-07-02,550.00,,
2026-07-03,550.00,,
2026-07-04,550.00,,
2026-07-05,550.00,,
2026-07-06,550.00,,
2026-07-07,550.00,,
2026-07-08,550.00,,
2026-07-09,550.00,,
2026-07-10,550.00,,
2026-07-11,550.00,,
2026-07-12,550.00,,
2026-07-13,550.00,,
2026-07-14,550.00,,
2026-07-15,550.00,,
2026-07-16,550.00,,
2026-07-17,550.00,,
2026-07-18,550.00,,
