date,new_price_usd,used_price_usd,used_source
2026-05-09,8600.00,,
2026-05-10,8600.00,,
2026-05-11,8600.00,,
2026-05-12,8600.00,,
2026-05-13,8600.00,,
2026-05-14,8600.00,,
2026-05-15,8600.00,,
2026-05-16,8600.00,,
2026-05-17,8600.00,,
2026-05-18,8600.00,,
2026-05-19,8600.00,,
2026-05-20,8600.00,,
2026-05-21,8600.00,,
2026-05-22,8600.00,,
2026-05-23,8600.00,,
2026-05-24,8600.00,,
2026-05-25,8600.00,,
2026-05-26,8600.00,,
2026-05-27,8600.00,,
2026-05-28,8600.00,,
2026-05-29,8600.00,,
2026-05-30,8600.00,,
2026-05-31,8600.00,,
2026-06-01,8600.00,,
2026-06-02,8600.00,,
2026-06-03,8600.00,,
2026-06-04,8600.00,,
2026-06-05,8600.00,,
2026-06-06,8600.00,,
2026-06-07,8600.00,,
2026-06-08,8600.00,,
2026-06-09,8600.00,,
2026-06-10,8600.00,,
2026-06-11,8600.00,,
2026-06-12,8600.00,,
2026-06-13,8600.00,,
2026-06-14,8600.00,,
2026-06-15,8600.00,,
2026-06-16,8600.00,,
2026-06-17,8600.00,,
2026-06-18,8600.00,,
2026-06-19,8600.00,,
2026-06-20,8600.00,,
2026-06-21,8600.00,,
2026-06-22,8600.00,,
2026-06-23,8600.00,,
2026-06-24,8600.00,,
2026-06-25,8600.00,,
2026-06-26,8600.00,,
2026-06-27,8600.00,,
2026-06-28,8600.00,,
2026-06-29,8600.00,,
2026-06-30,8600.00,,
2026-07-01,8600.00,,
2026-07-02,8600.00,,
2026-07-03,8600.00,,
2026-07-04,8600.00,,
2026-07-05,8600.00,,
2026-07-06,8600.00,,
2026-07-07,8600.00,,
2026-07-08,8600.00,,
2026-07-09,8600.00,,
2026-07-10,8600.00,,
2026-07-11,8600.00,,
2026-07-12,8600.00,,
2026-07-13,8600.00,,
2026-07-14,8600.00,,
2026-07-15,8600.00,,
2026-07-16,8600.00,,
2026-07-17,8600.00,,
2026-07-18,8600.00,,
2026-07-19,8600.00,,
2026-07-20,8600.00,,
