date,new_price_usd,used_price_usd,used_source
2026-05-09,10190.00,,
2026-05-10,10190.00,,
2026-05-11,10190.00,,
2026-05-12,10190.00,,
2026-05-13,10190.00,,
2026-05-14,10190.00,,
2026-05-15,10190.00,,
2026-05-16,10190.00,,
2026-05-17,10190.00,,
2026-05-18,10190.00,,
2026-05-19,10190.00,,
2026-05-20,10190.00,,
2026-05-21,10190.00,,
2026-05-22,10190.00,,
2026-05-23,10190.00,,
2026-05-24,10190.00,,
2026-05-25,10190.00,,
2026-05-26,10190.00,,
2026-05-27,10190.00,,
2026-05-28,10190.00,,
2026-05-29,10190.00,,
2026-05-30,10190.00,,
2026-05-31,10190.00,,
2026-06-01,10190.00,,
2026-06-02,10190.00,,
2026-06-03,10190.00,,
2026-06-04,10190.00,,
2026-06-05,10190.00,,
2026-06-06,10190.00,,
2026-06-07,10190.00,,
2026-06-08,10190.00,,
2026-06-09,10190.00,,
2026-06-10,10190.00,,
2026-06-11,10190.00,,
2026-06-12,10190.00,,
2026-06-13,10190.00,,
