date,new_price_usd,used_price_usd,used_source
2026-05-09,4899.00,,
2026-05-10,4899.00,,
2026-05-11,4899.00,,
2026-05-12,4899.00,,
2026-05-13,4899.00,,
2026-05-14,4899.00,,
2026-05-15,4899.00,,
2026-05-16,4899.00,,
2026-05-17,4899.00,,
2026-05-18,4899.00,,
2026-05-19,4899.00,,
2026-05-20,4899.00,,
2026-05-21,4899.00,,
2026-05-22,4899.00,,
2026-05-23,4899.00,,
2026-05-24,4899.00,,
2026-05-25,4899.00,,
2026-05-26,4899.00,,
2026-05-27,4899.00,,
2026-05-28,4899.00,,
2026-05-29,4899.00,,
2026-05-30,4899.00,,
2026-05-31,4899.00,,
2026-06-01,4899.00,,
2026-06-02,4899.00,,
2026-06-03,4899.00,,
2026-06-04,4899.00,,
2026-06-05,4899.00,,
2026-06-06,4899.00,,
2026-06-07,4899.00,,
2026-06-08,4899.00,,
2026-06-09,4899.00,,
2026-06-10,4899.00,,
2026-06-11,4899.00,,
2026-06-12,4899.00,,
2026-06-13,4899.00,,
2026-06-14,4899.00,,
2026-06-15,4899.00,,
2026-06-16,4899.00,,
2026-06-17,4899.00,,
2026-06-18,4899.00,,
2026-06-19,4899.00,,
2026-06-20,4899.00,,
2026-06-21,4899.00,,
2026-06-22,4899.00,,
2026-06-23,4899.00,,
2026-06-24,4899.00,,
2026-06-25,4899.00,,
2026-06-26,4899.00,,
2026-06-27,4899.00,,
2026-06-28,4899.00,,
2026-06-29,4899.00,,
2026-06-30,4899.00,,
2026-07-01,4899.00,,
2026-07-02,4899.00,,
2026-07-03,4899.00,,
2026-07-04,4899.00,,
2026-07-05,4899.00,,
2026-07-06,4899.00,,
2026-07-07,4899.00,,
2026-07-08,4899.00,,
2026-07-09,4899.00,,
2026-07-10,4899.00,,
2026-07-11,4899.00,,
2026-07-12,4899.00,,
2026-07-13,4899.00,,
2026-07-14,4899.00,,
2026-07-15,4899.00,,
2026-07-16,4899.00,,
2026-07-17,4899.00,,
2026-07-18,4899.00,,
2026-07-19,4899.00,,
