date,new_price_usd,used_price_usd,used_source
2026-05-09,1299.00,,
2026-05-10,1299.00,,
2026-05-11,1299.00,,
2026-05-12,1299.00,,
2026-05-13,1299.00,,
2026-05-14,1299.00,,
2026-05-15,1299.00,,
2026-05-16,1299.00,,
2026-05-17,1299.00,,
2026-05-18,1299.00,,
2026-05-19,1299.00,,
2026-05-20,1299.00,,
2026-05-21,1299.00,,
2026-05-22,1299.00,,
2026-05-23,1299.00,,
2026-05-24,1299.00,,
2026-05-25,1299.00,,
2026-05-26,1299.00,,
2026-05-27,1299.00,,
2026-05-28,1299.00,,
2026-05-29,1299.00,,
2026-05-30,1299.00,,
2026-05-31,1299.00,,
2026-06-01,1299.00,,
2026-06-02,1299.00,,
2026-06-03,1299.00,,
2026-06-04,1299.00,,
2026-06-05,1299.00,,
2026-06-06,1299.00,,
2026-06-07,1299.00,,
2026-06-08,1299.00,,
2026-06-09,1299.00,,
2026-06-10,1299.00,,
2026-06-11,1299.00,,
2026-06-12,1299.00,,
2026-06-13,1299.00,,
2026-06-14,1299.00,,
2026-06-15,1299.00,,
2026-06-16,1299.00,,
2026-06-17,1299.00,,
2026-06-18,1299.00,,
2026-06-19,1299.00,,
2026-06-20,1299.00,,
2026-06-21,1299.00,,
2026-06-22,1299.00,,
2026-06-23,1299.00,,
2026-06-24,1299.00,,
2026-06-25,1299.00,,
2026-06-26,1299.00,,
2026-06-27,1299.00,,
2026-06-28,1299.00,,
2026-06-29,1299.00,,
2026-06-30,1299.00,,
2026-07-01,1299.00,,
2026-07-02,1299.00,,
2026-07-03,1299.00,,
2026-07-04,1299.00,,
2026-07-05,1299.00,,
2026-07-06,1299.00,,
