date,new_price_usd,used_price_usd,used_source
2026-05-09,1899.00,,
2026-05-10,1899.00,,
2026-05-11,1899.00,,
2026-05-12,1899.00,,
2026-05-13,1899.00,,
2026-05-14,1899.00,,
2026-05-15,1899.00,,
2026-05-16,1899.00,,
2026-05-17,1899.00,,
2026-05-18,1899.00,,
2026-05-19,1899.00,,
2026-05-20,1899.00,,
2026-05-21,1899.00,,
2026-05-22,1899.00,,
2026-05-23,1899.00,,
2026-05-24,1899.00,,
2026-05-25,1899.00,,
2026-05-26,1899.00,,
2026-05-27,1899.00,,
2026-05-28,1899.00,,
2026-05-29,1899.00,,
2026-05-30,1899.00,,
