date,new_price_usd,used_price_usd,used_source
2026-05-09,3299.00,,
2026-05-10,3299.00,,
2026-05-11,3299.00,,
2026-05-12,3299.00,,
2026-05-13,3299.00,,
2026-05-14,3299.00,,
2026-05-15,3299.00,,
2026-05-16,3299.00,,
2026-05-17,3299.00,,
2026-05-18,3299.00,,
2026-05-19,3299.00,,
2026-05-20,3299.00,,
2026-05-21,3299.00,,
2026-05-22,3299.00,,
2026-05-23,3299.00,,
2026-05-24,3299.00,,
2026-05-25,3299.00,,
2026-05-26,3299.00,,
2026-05-27,3299.00,,
2026-05-28,3299.00,,
2026-05-29,3299.00,,
2026-05-30,3299.00,,
2026-05-31,3299.00,,
2026-06-01,3299.00,,
2026-06-02,3299.00,,
