date,new_price_usd,used_price_usd,used_source
2026-05-09,10599.00,,
2026-05-10,10599.00,,
2026-05-11,10599.00,,
2026-05-12,10599.00,,
2026-05-13,10599.00,,
2026-05-14,10599.00,,
2026-05-15,10599.00,,
2026-05-16,10599.00,,
2026-05-17,10599.00,,
2026-05-18,10599.00,,
2026-05-19,10599.00,,
2026-05-20,10599.00,,
2026-05-21,10599.00,,
2026-05-22,10599.00,,
2026-05-23,10599.00,,
2026-05-24,10599.00,,
2026-05-25,10599.00,,
2026-05-26,10599.00,,
2026-05-27,10599.00,,
2026-05-28,10599.00,,
2026-05-29,10599.00,,
2026-05-30,10599.00,,
2026-05-31,10599.00,,
2026-06-01,10599.00,,
2026-06-02,10599.00,,
2026-06-03,10599.00,,
2026-06-04,10599.00,,
2026-06-05,10599.00,,
2026-06-06,10599.00,,
2026-06-07,10599.00,,
2026-06-08,10599.00,,
2026-06-09,10599.00,,
2026-06-10,10599.00,,
2026-06-11,10599.00,,
2026-06-12,10599.00,,
2026-06-13,10599.00,,
2026-06-14,10599.00,,
2026-06-15,10599.00,,
2026-06-16,10599.00,,
2026-06-17,10599.00,,
2026-06-18,10599.00,,
2026-06-19,10599.00,,
2026-06-20,10599.00,,
2026-06-21,10599.00,,
2026-06-22,10599.00,,
2026-06-23,10599.00,,
2026-06-24,10599.00,,
2026-06-25,10599.00,,
2026-06-26,10599.00,,
2026-06-27,10599.00,,
2026-06-28,10599.00,,
2026-06-29,10599.00,,
2026-06-30,10599.00,,
2026-07-01,10599.00,,
2026-07-02,10599.00,,
2026-07-03,10599.00,,
2026-07-04,10599.00,,
2026-07-05,10599.00,,
2026-07-06,10599.00,,
2026-07-07,10599.00,,
2026-07-08,10599.00,,
2026-07-09,10599.00,,
2026-07-10,10599.00,,
2026-07-11,10599.00,,
