date,new_price_usd,used_price_usd,used_source
2026-05-09,6090.00,,
2026-05-10,6090.00,,
2026-05-11,6090.00,,
2026-05-12,6090.00,,
2026-05-13,6090.00,,
2026-05-14,6090.00,,
2026-05-15,6090.00,,
2026-05-16,6090.00,,
2026-05-17,6090.00,,
2026-05-18,6090.00,,
2026-05-19,6090.00,,
2026-05-20,6090.00,,
2026-05-21,6090.00,,
2026-05-22,6090.00,,
2026-05-23,6090.00,,
2026-05-24,6090.00,,
2026-05-25,6090.00,,
2026-05-26,6090.00,,
2026-05-27,6090.00,,
2026-05-28,6090.00,,
2026-05-29,6090.00,,
2026-05-30,6090.00,,
2026-05-31,6090.00,,
2026-06-01,6090.00,,
2026-06-02,6090.00,,
2026-06-03,6090.00,,
2026-06-04,6090.00,,
2026-06-05,6090.00,,
