date,new_price_usd,used_price_usd,used_source
2026-05-09,2314.29,,
2026-05-10,2314.29,,
2026-05-11,2314.29,,
2026-05-12,2314.29,,
2026-05-13,2314.29,,
2026-05-14,2314.29,,
2026-05-15,2314.29,,
2026-05-16,2314.29,,
2026-05-17,2314.29,,
2026-05-18,2314.29,,
2026-05-19,2314.29,,
2026-05-20,2314.29,,
2026-05-21,2314.29,,
2026-05-22,2314.29,,
2026-05-23,2314.29,,
2026-05-24,2314.29,,
2026-05-25,2314.29,,
2026-05-26,2314.29,,
2026-05-27,2314.29,,
2026-05-28,2314.29,,
2026-05-29,2314.29,,
2026-05-30,2314.29,,
2026-05-31,2314.29,,
2026-06-01,2314.29,,
