date,new_price_usd,used_price_usd,used_source
2026-05-09,14599.00,,
2026-05-10,14599.00,,
2026-05-11,14599.00,,
2026-05-12,14599.00,,
2026-05-13,14599.00,,
2026-05-14,14599.00,,
2026-05-15,14599.00,,
2026-05-16,14599.00,,
2026-05-17,14599.00,,
2026-05-18,14599.00,,
2026-05-19,14599.00,,
2026-05-20,14599.00,,
2026-05-21,14599.00,,
2026-05-22,14599.00,,
2026-05-23,14599.00,,
2026-05-24,14599.00,,
2026-05-25,14599.00,,
2026-05-26,14599.00,,
2026-05-27,14599.00,,
2026-05-28,14599.00,,
2026-05-29,14599.00,,
2026-05-30,14599.00,,
2026-05-31,14599.00,,
2026-06-01,14599.00,,
2026-06-02,14599.00,,
2026-06-03,14599.00,,
2026-06-04,14599.00,,
2026-06-05,14599.00,,
2026-06-06,14599.00,,
2026-06-07,14599.00,,
2026-06-08,14599.00,,
2026-06-09,14599.00,,
2026-06-10,14599.00,,
2026-06-11,14599.00,,
2026-06-12,14599.00,,
2026-06-13,14599.00,,
2026-06-14,14599.00,,
2026-06-15,14599.00,,
