date,new_price_usd,used_price_usd,used_source
2026-05-09,280.00,,
2026-05-10,280.00,,
2026-05-11,280.00,,
2026-05-12,280.00,,
2026-05-13,280.00,,
2026-05-14,280.00,,
2026-05-15,280.00,,
2026-05-16,280.00,,
2026-05-17,280.00,,
2026-05-18,280.00,,
2026-05-19,280.00,,
2026-05-20,280.00,,
2026-05-21,280.00,,
2026-05-22,280.00,,
2026-05-23,280.00,,
2026-05-24,280.00,,
2026-05-25,280.00,,
2026-05-26,280.00,,
2026-05-27,280.00,,
2026-05-28,280.00,,
2026-05-29,280.00,,
2026-05-30,280.00,,
2026-05-31,280.00,,
2026-06-01,280.00,,
2026-06-02,280.00,,
2026-06-03,280.00,,
2026-06-04,280.00,,
2026-06-05,280.00,,
2026-06-06,280.00,,
2026-06-07,280.00,,
2026-06-08,280.00,,
2026-06-09,280.00,,
2026-06-10,280.00,,
2026-06-11,280.00,,
2026-06-12,280.00,,
2026-06-13,280.00,,
2026-06-14,280.00,,
2026-06-15,280.00,,
