date,price_usd,volume_usd,market_cap_usd
2026-05-09,623.66,1062415773.0168513,10381916201.293308
2026-05-10,608.92,856175154.527947,10161813617.929424
2026-05-11,578.17,800800824.4641004,9644180069.320658
2026-05-12,558.32,743179530.0398132,9332415341.495054
2026-05-13,556.07,774986333.2026403,9262568837.631252
2026-05-14,528.88,871280208.3555684,8829005103.0536
2026-05-15,541.58,851261098.4639709,9049634017.849756
2026-05-16,504.06,341506497.3713396,8395218893.813337
2026-05-17,512.87,329341710.2154064,8558996251.728023
2026-05-18,531.03,543286279.7584268,8898425224.611834
2026-05-19,567.54,567975734.1904881,9474027118.176151
2026-05-20,585.15,508675738.9462538,9766327845.92658
2026-05-21,669.14,1111038027.7256296,11173075152.841969
2026-05-22,654.3,734799113.2355914,10950130057.544874
2026-05-23,594.99,576871347.1798222,9944543462.203718
2026-05-24,635.76,758496180.843944,10602656478.195232
2026-05-25,658.36,792253894.7928158,11013027322.500183
2026-05-26,621.5,686966415.5598314,10367718857.335598
2026-05-27,571.2,965510028.4699457,9539085620.748972
2026-05-28,526.65,806638136.8623266,8794004377.615273
2026-05-29,535.31,645537015.2821555,8934623976.882017
2026-05-30,512.83,626169365.906647,8557350514.202214
2026-05-31,546.16,322313848.72627825,9114408283.798887
2026-06-01,551.85,681045468.085632,9208790194.85389
2026-06-02,546.17,803702181.1839118,9095266962.706142
2026-06-03,617.1,1422388450.1871898,10294164759.42706
2026-06-04,606.51,1185642867.5039587,10136534038.054928
2026-06-05,357.82,1782050524.9883535,6021972907.79847
2026-06-06,370.24,3185074284.9038033,6170505635.360415
2026-06-07,403.51,1154053394.7575634,6850587422.210012
2026-06-08,427.98,1225293079.73467,7158581148.866204
2026-06-09,452.34,870271239.6097919,7587924849.8996315
2026-06-10,430.64,907845659.6081845,7217928957.2013855
2026-06-11,424.67,642693986.9219625,7123772053.247179
2026-06-12,423.65,541104234.0985708,7105760978.961778
2026-06-13,412.09,469477262.96259093,6906054071.939337
2026-06-14,426.34,406960213.1771757,7147983397.12462
2026-06-15,497.18,607520354.5643013,8341820181.772162
2026-06-16,521.26,938797135.6360604,8730320126.805902
2026-06-17,510.59,664528941.9663016,8562405293.310137
2026-06-18,465.41,610024006.5252773,7807960443.532802
2026-06-19,449.3,424788872.6286184,7529720759.918108
2026-06-20,470.56,408652529.77108705,7878470020.302032
2026-06-21,467.62,233195838.75740615,7852277124.965473
2026-06-22,450.64,359142695.4611551,7545407137.218008
2026-06-23,438.01,289576259.4213519,7359275337.254647
2026-06-24,418.4,356728440.279512,7016891945.867805
