date,price_usd,volume_usd,market_cap_usd
2026-05-09,80426,31656291022.2222,1610433206680.705
2026-05-10,80778,18301081528.099636,1617630729267.6448
2026-05-11,80807,33923294374.081665,1618736797227.9521
2026-05-12,81271,31189609805.517296,1627416875947.341
2026-05-13,81041,31631763016.75086,1623284316100.54
2026-05-14,79688,46689884464.8455,1596173630104.7507
2026-05-15,80406,44326204054.027,1610463521910.0747
2026-05-16,78986,35714250382.98774,1582132286214.4885
2026-05-17,78149,26101433924.505737,1565487269625.8345
2026-05-18,76859,22835937009.912605,1539560543174.671
2026-05-19,76866,40314862638.62292,1539744497032.7463
2026-05-20,77112,27495134621.485107,1544672058558.688
2026-05-21,77731,27350273676.32183,1557039680628.94
2026-05-22,77467,26272341632.101463,1552980630220.209
2026-05-23,75406,31637462628.17634,1510639356521.0999
2026-05-24,76750,29735546262.910797,1537772187066.4377
2026-05-25,77223,24173411578.273075,1548992955909.908
2026-05-26,76809,22818951244.00631,1538827201128.428
2026-05-27,75663,37315224720.749725,1515992599672.0293
2026-05-28,72885,41405949367.685074,1460004228950.4146
2026-05-29,73584,33209728553.876568,1474431946484.5923
2026-05-30,73476,33803629675.218052,1472194029190.7622
2026-05-31,73893,16847249753.798103,1481896648623.7192
2026-06-01,72959,19638741844.71213,1461484038205.737
2026-06-02,70232,50664767313.13973,1406768390746.7366
2026-06-03,67241,62383294416.692566,1348745031145.307
2026-06-04,64219,58771073643.29699,1287111217246.6384
2026-06-05,62160,53068869826.68189,1249551518435.8665
2026-06-06,60824,75564269360.89825,1217541305629.8
2026-06-07,61671,27217366931.60888,1235726004459.1582
2026-06-08,63021,36909255668.165375,1262941206328.7686
2026-06-09,63274,35316134245.699455,1268690273779.2822
2026-06-10,61340,36933829985.73709,1228918806579.103
2026-06-11,62896,28665733947.267685,1260456150360.3635
2026-06-12,63096,29665877443.933887,1264192504650.0095
2026-06-13,63556,25975589451.83007,1273318345100.838
2026-06-14,64325,18444517741.2841,1289654737140.0615
2026-06-15,65752,25040729206.28253,1317716004391.7935
2026-06-16,66341,32226875285.984325,1329898772269.7979
2026-06-17,65555,24007097771.586197,1313907803789.8452
2026-06-18,64019,33697327864.130383,1283177807995.5366
2026-06-19,62826,28906919996.37624,1259326660953.3855
2026-06-20,63603,20959455991.868916,1275473027107.3726
2026-06-21,64241,17752873594.517803,1287726698668.5232
2026-06-22,64088,20593497265.105232,1283184518432.8484
2026-06-23,63314,25253529953.89665,1270212697396.7969
2026-06-24,62802,30021057941.140453,1258956706348.9785
2026-06-25,61539,43095391290.044205,1233667006382.939
2026-06-26,59748,45118937535.00032,1197910009030.806
2026-06-27,60136,32612601118.993793,1205659487550.1653
2026-06-28,59872,15307606740.628805,1200443591717.9434
2026-06-29,60003,20737531039.766262,1203487927705.3052
2026-06-30,59498,31173127158.831882,1193340144485.6213
2026-07-01,58861,33802847454.41268,1180134634331.065
2026-07-02,60459,40446843900.43051,1212260607442.3677
2026-07-03,61612,37328163305.85067,1235205580262.5698
2026-07-04,62459,24118855986.62918,1252396517931.2197
2026-07-05,62702,17853398692.173397,1257185924783.6785
2026-07-06,63015,20822901126.421818,1263855884936.6733
2026-07-07,63088,36949090552.502365,1265520125054.1946
2026-07-08,62760,31283336287.16651,1258596123849.0876
2026-07-09,62499,25682208184.252422,1253309654858.9187
2026-07-10,64060,29034612842.914692,1284953002854.8374
2026-07-11,64083,24804877215.379265,1285152702752.6338
2026-07-12,63889,17506195565.7307,1281253704991.7922
2026-07-13,62626,21005495842.310627,1256016498596.237
2026-07-14,62650,29196484288.05329,1256511898234.3052
2026-07-15,64751,29766293706.41524,1298645893906.077
2026-07-16,64563,27912546464.124897,1294922272942.2747
2026-07-17,63442,28916111775.746296,1272499904179.2422
2026-07-18,63907,25025105753.88885,1281823175501.5972
2026-07-19,64718,14825550052.160936,1298143576332.7795
2026-07-20,64120,18379406472.321114,1286246764047.1675
2026-07-21,65471,31574295415.642353,1313285878467.669
