date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,0.03,0.9,BTC+FB+NMC,6Th,103,0.06
2026-05-10,0.03,0.9,BTC+FB+NMC,6Th,103,0.06
2026-05-11,0.03,0.9,BTC+FB+NMC,6Th,103,0.06
2026-05-12,0.03,0.9,BTC+FB+NMC,6Th,103,0.06
2026-05-13,0.03,0.9,BTC+FB+NMC,6Th,103,0.06
2026-05-14,0.03,0.9,BTC+FB+NMC,6Th,103,0.06
2026-05-15,0.03,0.9,BTC+FB+NMC,6Th,103,0.06
2026-05-16,0.02,0.6,BTC+FB+NMC,6Th,103,0.06
2026-05-17,0.02,0.6,BTC+FB+NMC,6Th,103,0.06
2026-05-18,0.02,0.6,BTC+FB+NMC,6Th,103,0.06
2026-05-19,0.02,0.6,BTC+FB+NMC,6Th,103,0.06
2026-05-20,0.02,0.6,BTC+FB+NMC,6Th,103,0.06
2026-05-21,0.02,0.6,BTC+FB+NMC,6Th,103,0.06
2026-05-22,0.02,0.6,BTC+FB+NMC,6Th,103,0.06
2026-05-23,0.02,0.6,BTC+FB+NMC,6Th,103,0.06
2026-05-24,0.02,0.6,BTC+FB+NMC,6Th,103,0.06
2026-05-25,0.02,0.6,BTC+FB+NMC,6Th,103,0.06
2026-05-26,0.01,0.3,BTC+FB+NMC,6Th,103,0.06
2026-05-27,0.01,0.3,BTC+FB+NMC,6Th,103,0.06
2026-05-28,0.01,0.3,BTC+FB+NMC,6Th,103,0.06
2026-05-29,0.01,0.3,BTC+FB+NMC,6Th,103,0.06
2026-05-30,0.01,0.3,BTC+FB+NMC,6Th,103,0.06
2026-05-31,0.01,0.3,BTC+FB+NMC,6Th,103,0.06
