date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,0.13,3.9,BTC+FB+NMC,4.2Th,17,0.06
2026-05-10,0.13,3.9,BTC+FB+NMC,4.2Th,17,0.06
2026-05-11,0.13,3.9,BTC+FB+NMC,4.2Th,17,0.06
2026-05-12,0.13,3.9,BTC+FB+NMC,4.2Th,17,0.06
2026-05-13,0.13,3.9,BTC+FB+NMC,4.2Th,17,0.06
2026-05-14,0.13,3.9,BTC+FB+NMC,4.2Th,17,0.06
2026-05-15,0.13,3.9,BTC+FB+NMC,4.2Th,17,0.06
2026-05-16,0.12,3.6,BTC+FB+NMC,4.2Th,17,0.06
2026-05-17,0.12,3.6,BTC+FB+NMC,4.2Th,17,0.06
2026-05-18,0.12,3.6,BTC+FB+NMC,4.2Th,17,0.06
2026-05-19,0.12,3.6,BTC+FB+NMC,4.2Th,17,0.06
2026-05-20,0.12,3.6,BTC+FB+NMC,4.2Th,17,0.06
2026-05-21,0.12,3.6,BTC+FB+NMC,4.2Th,17,0.06
2026-05-22,0.12,3.6,BTC+FB+NMC,4.2Th,17,0.06
2026-05-23,0.12,3.6,BTC+FB+NMC,4.2Th,17,0.06
2026-05-24,0.12,3.6,BTC+FB+NMC,4.2Th,17,0.06
2026-05-25,0.12,3.6,BTC+FB+NMC,4.2Th,17,0.06
2026-05-26,0.12,3.6,BTC+FB+NMC,4.2Th,17,0.06
2026-05-27,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-05-28,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-05-29,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-05-30,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-05-31,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-06-01,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-06-02,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-06-03,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-06-04,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-06-05,0.09,2.7,BTC+FB+NMC,4.2Th,17,0.06
2026-06-06,0.09,2.7,BTC+FB+NMC,4.2Th,17,0.06
2026-06-07,0.09,2.7,BTC+FB+NMC,4.2Th,17,0.06
2026-06-08,0.09,2.7,BTC+FB+NMC,4.2Th,17,0.06
2026-06-09,0.09,2.7,BTC+FB+NMC,4.2Th,17,0.06
2026-06-10,0.08,2.4,BTC+FB+NMC,4.2Th,17,0.06
2026-06-11,0.08,2.4,BTC+FB+NMC,4.2Th,17,0.06
2026-06-12,0.08,2.4,BTC+FB+NMC,4.2Th,17,0.06
2026-06-13,0.09,2.7,BTC+FB+NMC,4.2Th,17,0.06
2026-06-14,0.1,3.0,BTC+FB+NMC,4.2Th,17,0.06
2026-06-15,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-06-16,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-06-17,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-06-18,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-06-19,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-06-20,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-06-21,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-06-22,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-06-23,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-06-24,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-06-25,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-06-26,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-06-27,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-06-28,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-06-29,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-06-30,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-07-01,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-07-02,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-07-03,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-07-04,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-07-05,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-07-06,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-07-07,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-07-08,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-07-09,0.11,3.3,BTC+FB+NMC,4.2Th,17,0.06
2026-07-10,0.09,2.7,BTC+FB+NMC,4.2Th,17,0.06
