date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,0.31,9.3,BTC+FB+NMC,180Th,3420,0.06
2026-05-10,0.31,9.3,BTC+FB+NMC,180Th,3420,0.06
2026-05-11,0.31,9.3,BTC+FB+NMC,180Th,3420,0.06
2026-05-12,0.4,12.0,BTC+FB+NMC,180Th,3420,0.06
2026-05-13,0.4,12.0,BTC+FB+NMC,180Th,3420,0.06
2026-05-14,0.27,8.1,BTC+FB+NMC,180Th,3420,0.06
2026-05-15,0.41,12.3,BTC+FB+NMC,180Th,3420,0.06
2026-05-16,0.03,0.9,BTC+FB+NMC,180Th,3420,0.06
2026-05-17,0.03,0.9,BTC+FB+NMC,180Th,3420,0.06
2026-05-18,0.03,0.9,BTC+FB+NMC,180Th,3420,0.06
2026-08-27,0.58,17.4,BTC+FB+NMC,180Th,3420,0.06
2026-08-28,0.58,17.4,BTC+FB+NMC,180Th,3420,0.06
2026-08-29,0.58,17.4,BTC+FB+NMC,180Th,3420,0.06
2026-08-30,0.58,17.4,BTC+FB+NMC,180Th,3420,0.06
2026-08-31,0.58,17.4,BTC+FB+NMC,180Th,3420,0.06
2026-09-01,0.52,15.6,BTC+FB+NMC,180Th,3420,0.06
2026-09-02,0.4,12.0,BTC+FB+NMC,180Th,3420,0.06
2026-09-03,0.36,10.8,BTC+FB+NMC,180Th,3420,0.06
