date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,0.01,0.3,BTC+FB+NMC,1.2Th,17,0.06
2026-05-10,0.01,0.3,BTC+FB+NMC,1.2Th,17,0.06
2026-05-11,0.01,0.3,BTC+FB+NMC,1.2Th,17,0.06
2026-05-12,0.01,0.3,BTC+FB+NMC,1.2Th,17,0.06
2026-05-13,0.01,0.3,BTC+FB+NMC,1.2Th,17,0.06
2026-05-14,0.01,0.3,BTC+FB+NMC,1.2Th,17,0.06
2026-05-15,0.01,0.3,BTC+FB+NMC,1.2Th,17,0.06
2026-05-16,0.01,0.3,BTC+FB+NMC,1.2Th,17,0.06
2026-05-17,0.01,0.3,BTC+FB+NMC,1.2Th,17,0.06
2026-05-18,0.01,0.3,BTC+FB+NMC,1.2Th,17,0.06
2026-05-19,0.01,0.3,BTC+FB+NMC,1.2Th,17,0.06
2026-05-20,0.01,0.3,BTC+FB+NMC,1.2Th,17,0.06
2026-05-21,0.01,0.3,BTC+FB+NMC,1.2Th,17,0.06
2026-05-22,0.01,0.3,BTC+FB+NMC,1.2Th,17,0.06
2026-05-23,0.01,0.3,BTC+FB+NMC,1.2Th,17,0.06
2026-05-24,0.01,0.3,BTC+FB+NMC,1.2Th,17,0.06
2026-05-25,0.01,0.3,BTC+FB+NMC,1.2Th,17,0.06
2026-05-26,0.01,0.3,BTC+FB+NMC,1.2Th,17,0.06
