date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,3.74,112.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-05-10,3.74,112.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-05-11,3.74,112.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-05-12,2.83,84.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-05-13,2.84,85.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-05-14,2.94,88.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-05-15,3.16,94.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-05-16,2.87,86.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-05-17,2.87,86.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-05-18,2.87,86.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-05-19,2.82,84.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-05-20,2.74,82.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-05-21,2.32,69.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-05-22,2.38,71.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-05-23,2.38,71.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-05-24,2.38,71.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-05-25,2.16,64.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-05-26,2.0,60.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-05-27,2.08,62.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-05-28,1.67,50.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-05-29,1.78,53.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-05-30,1.78,53.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-05-31,1.78,53.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-06-01,2.12,63.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-06-02,2.12,63.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-06-03,2.13,63.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-06-04,1.76,52.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-06-05,1.44,43.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-06-06,1.44,43.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-06-07,1.44,43.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-06-08,0.85,25.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-06-09,0.86,25.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-06-10,0.75,22.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
2026-06-11,0.75,22.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,17Gh,3570,0.06
