date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,11.39,341.7,BTC+FB+NMC,860Th,11180,0.06
2026-05-10,11.39,341.7,BTC+FB+NMC,860Th,11180,0.06
2026-05-11,11.39,341.7,BTC+FB+NMC,860Th,11180,0.06
2026-05-12,11.82,354.6,BTC+FB+NMC,860Th,11180,0.06
2026-05-13,11.8,354.0,BTC+FB+NMC,860Th,11180,0.06
2026-05-14,11.21,336.3,BTC+FB+NMC,860Th,11180,0.06
2026-05-15,11.88,356.4,BTC+FB+NMC,860Th,11180,0.06
2026-05-16,10.05,301.5,BTC+FB+NMC,860Th,11180,0.06
2026-05-17,10.05,301.5,BTC+FB+NMC,860Th,11180,0.06
2026-05-18,10.05,301.5,BTC+FB+NMC,860Th,11180,0.06
2026-05-19,9.19,275.7,BTC+FB+NMC,860Th,11180,0.06
2026-05-20,9.06,271.8,BTC+FB+NMC,860Th,11180,0.06
2026-05-21,9.33,279.9,BTC+FB+NMC,860Th,11180,0.06
2026-05-22,9.39,281.7,BTC+FB+NMC,860Th,11180,0.06
2026-05-23,9.39,281.7,BTC+FB+NMC,860Th,11180,0.06
2026-05-24,9.39,281.7,BTC+FB+NMC,860Th,11180,0.06
2026-05-25,9.16,274.8,BTC+FB+NMC,860Th,11180,0.06
2026-05-26,9.03,270.9,BTC+FB+NMC,860Th,11180,0.06
2026-05-27,8.68,260.4,BTC+FB+NMC,860Th,11180,0.06
2026-05-28,8.18,245.4,BTC+FB+NMC,860Th,11180,0.06
2026-05-29,7.73,231.9,BTC+FB+NMC,860Th,11180,0.06
2026-05-30,7.73,231.9,BTC+FB+NMC,860Th,11180,0.06
2026-05-31,7.73,231.9,BTC+FB+NMC,860Th,11180,0.06
2026-06-01,7.27,218.1,BTC+FB+NMC,860Th,11180,0.06
2026-06-02,7.27,218.1,BTC+FB+NMC,860Th,11180,0.06
2026-06-03,6.02,180.6,BTC+FB+NMC,860Th,11180,0.06
2026-06-04,4.99,149.7,BTC+FB+NMC,860Th,11180,0.06
2026-06-05,3.6,108.0,BTC+FB+NMC,860Th,11180,0.06
2026-06-06,3.6,108.0,BTC+FB+NMC,860Th,11180,0.06
2026-06-07,3.6,108.0,BTC+FB+NMC,860Th,11180,0.06
2026-06-08,3.23,96.9,BTC+FB+NMC,860Th,11180,0.06
2026-06-09,3.12,93.6,BTC+FB+NMC,860Th,11180,0.06
2026-06-10,2.59,77.7,BTC+FB+NMC,860Th,11180,0.06
2026-06-11,2.59,77.7,BTC+FB+NMC,860Th,11180,0.06
2026-06-12,2.59,77.7,BTC+FB+NMC,860Th,11180,0.06
2026-06-13,3.43,102.9,BTC+FB+NMC,860Th,11180,0.06
2026-06-14,6.67,200.1,BTC+FB+NMC,860Th,11180,0.06
2026-06-15,7.09,212.7,BTC+FB+NMC,860Th,11180,0.06
2026-06-16,7.23,216.9,BTC+FB+NMC,860Th,11180,0.06
2026-06-17,7.45,223.5,BTC+FB+NMC,860Th,11180,0.06
2026-06-18,7.45,223.5,BTC+FB+NMC,860Th,11180,0.06
2026-06-19,7.45,223.5,BTC+FB+NMC,860Th,11180,0.06
