date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-12,1.84,55.2,ALEO,2Gh,3400,0.06
2026-05-13,2.22,66.6,ALEO,2Gh,3400,0.06
2026-05-14,0.63,18.9,ALEO,2Gh,3400,0.06
2026-05-15,1.66,49.8,ALEO,2Gh,3400,0.06
2026-05-16,0.19,5.7,ALEO,2Gh,3400,0.06
2026-05-17,0.19,5.7,ALEO,2Gh,3400,0.06
2026-05-18,0.19,5.7,ALEO,2Gh,3400,0.06
2026-05-19,0.34,10.2,ALEO,2Gh,3400,0.06
2026-05-20,1.53,45.9,ALEO,2Gh,3400,0.06
2026-05-21,1.61,48.3,ALEO,2Gh,3400,0.06
2026-05-22,1.29,38.7,ALEO,2Gh,3400,0.06
