date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,7.17,215.1,BTC+FB+NMC,473Th,5676,0.06
2026-05-10,7.17,215.1,BTC+FB+NMC,473Th,5676,0.06
2026-05-11,7.17,215.1,BTC+FB+NMC,473Th,5676,0.06
2026-05-12,7.41,222.3,BTC+FB+NMC,473Th,5676,0.06
2026-05-13,7.4,222.0,BTC+FB+NMC,473Th,5676,0.06
2026-05-14,7.08,212.4,BTC+FB+NMC,473Th,5676,0.06
2026-05-15,7.44,223.2,BTC+FB+NMC,473Th,5676,0.06
2026-05-16,6.43,192.9,BTC+FB+NMC,473Th,5676,0.06
2026-05-17,6.43,192.9,BTC+FB+NMC,473Th,5676,0.06
2026-05-18,6.43,192.9,BTC+FB+NMC,473Th,5676,0.06
2026-05-19,5.96,178.8,BTC+FB+NMC,473Th,5676,0.06
2026-05-20,5.89,176.7,BTC+FB+NMC,473Th,5676,0.06
2026-05-21,6.04,181.2,BTC+FB+NMC,473Th,5676,0.06
2026-05-22,6.07,182.1,BTC+FB+NMC,473Th,5676,0.06
2026-05-23,6.07,182.1,BTC+FB+NMC,473Th,5676,0.06
2026-05-24,6.07,182.1,BTC+FB+NMC,473Th,5676,0.06
2026-05-25,5.95,178.5,BTC+FB+NMC,473Th,5676,0.06
2026-05-26,5.87,176.1,BTC+FB+NMC,473Th,5676,0.06
2026-05-27,5.68,170.4,BTC+FB+NMC,473Th,5676,0.06
2026-05-28,5.41,162.3,BTC+FB+NMC,473Th,5676,0.06
2026-05-29,5.16,154.8,BTC+FB+NMC,473Th,5676,0.06
