date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,9.28,278.4,ETC,23.4Gh,2550,0.06
2026-05-10,9.28,278.4,ETC,23.4Gh,2550,0.06
2026-05-11,9.28,278.4,ETC,23.4Gh,2550,0.06
2026-05-12,10.36,310.8,ETC,23.4Gh,2550,0.06
2026-05-13,10.06,301.8,ETC,23.4Gh,2550,0.06
2026-05-14,9.14,274.2,ETC,23.4Gh,2550,0.06
2026-05-15,9.79,293.7,ETC,23.4Gh,2550,0.06
2026-05-16,9.47,284.1,ETC,23.4Gh,2550,0.06
2026-05-17,9.47,284.1,ETC,23.4Gh,2550,0.06
2026-05-18,9.47,284.1,ETC,23.4Gh,2550,0.06
2026-05-19,8.8,264.0,ETC,23.4Gh,2550,0.06
2026-05-20,8.83,264.9,ETC,23.4Gh,2550,0.06
2026-05-21,9.47,284.1,ETC,23.4Gh,2550,0.06
2026-05-22,9.6,288.0,ETC,23.4Gh,2550,0.06
2026-05-23,9.6,288.0,ETC,23.4Gh,2550,0.06
2026-05-24,9.6,288.0,ETC,23.4Gh,2550,0.06
2026-05-25,8.59,257.7,ETC,23.4Gh,2550,0.06
2026-05-26,8.69,260.7,ETC,23.4Gh,2550,0.06
2026-05-27,7.62,228.6,ETC,23.4Gh,2550,0.06
2026-05-28,8.08,242.4,ETC,23.4Gh,2550,0.06
2026-05-29,7.41,222.3,ETC,23.4Gh,2550,0.06
2026-05-30,7.41,222.3,ETC,23.4Gh,2550,0.06
2026-05-31,7.41,222.3,ETC,23.4Gh,2550,0.06
2026-06-01,7.28,218.4,ETC,23.4Gh,2550,0.06
2026-06-02,7.28,218.4,ETC,23.4Gh,2550,0.06
2026-06-03,7.56,226.8,ETC,23.4Gh,2550,0.06
2026-06-04,7.26,217.8,ETC,23.4Gh,2550,0.06
2026-06-05,6.42,192.6,ETC,23.4Gh,2550,0.06
2026-06-06,6.42,192.6,ETC,23.4Gh,2550,0.06
