date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-06-05,0.82,24.6,BTC+FB+NMC,634Th,9200,0.06
2026-06-06,0.82,24.6,BTC+FB+NMC,634Th,9200,0.06
2026-06-07,0.82,24.6,BTC+FB+NMC,634Th,9200,0.06
2026-06-08,0.54,16.2,BTC+FB+NMC,634Th,9200,0.06
2026-06-09,0.46,13.8,BTC+FB+NMC,634Th,9200,0.06
2026-06-10,0.07,2.1,BTC+FB+NMC,634Th,9200,0.06
2026-06-11,0.07,2.1,BTC+FB+NMC,634Th,9200,0.06
2026-06-12,0.07,2.1,BTC+FB+NMC,634Th,9200,0.06
2026-06-13,0.69,20.7,BTC+FB+NMC,634Th,9200,0.06
2026-06-14,3.08,92.4,BTC+FB+NMC,634Th,9200,0.06
2026-06-15,3.39,101.7,BTC+FB+NMC,634Th,9200,0.06
2026-06-16,3.49,104.7,BTC+FB+NMC,634Th,9200,0.06
2026-06-17,3.65,109.5,BTC+FB+NMC,634Th,9200,0.06
2026-06-18,3.65,109.5,BTC+FB+NMC,634Th,9200,0.06
2026-06-19,3.65,109.5,BTC+FB+NMC,634Th,9200,0.06
2026-06-20,3.65,109.5,BTC+FB+NMC,634Th,9200,0.06
2026-06-21,3.65,109.5,BTC+FB+NMC,634Th,9200,0.06
2026-06-22,3.65,109.5,BTC+FB+NMC,634Th,9200,0.06
2026-06-23,3.65,109.5,BTC+FB+NMC,634Th,9200,0.06
2026-06-24,3.65,109.5,BTC+FB+NMC,634Th,9200,0.06
2026-06-25,3.65,109.5,BTC+FB+NMC,634Th,9200,0.06
2026-06-26,3.65,109.5,BTC+FB+NMC,634Th,9200,0.06
2026-06-27,3.65,109.5,BTC+FB+NMC,634Th,9200,0.06
2026-06-28,3.65,109.5,BTC+FB+NMC,634Th,9200,0.06
2026-06-29,3.65,109.5,BTC+FB+NMC,634Th,9200,0.06
2026-06-30,3.65,109.5,BTC+FB+NMC,634Th,9200,0.06
2026-07-01,3.65,109.5,BTC+FB+NMC,634Th,9200,0.06
2026-07-02,3.65,109.5,BTC+FB+NMC,634Th,9200,0.06
2026-07-03,3.65,109.5,BTC+FB+NMC,634Th,9200,0.06
2026-07-04,3.65,109.5,BTC+FB+NMC,634Th,9200,0.06
