date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,1.11,33.3,BTC+FB+NMC,202Th,3441,0.06
2026-05-10,1.11,33.3,BTC+FB+NMC,202Th,3441,0.06
2026-05-11,1.11,33.3,BTC+FB+NMC,202Th,3441,0.06
2026-05-12,1.21,36.3,BTC+FB+NMC,202Th,3441,0.06
2026-05-13,1.21,36.3,BTC+FB+NMC,202Th,3441,0.06
2026-05-14,1.07,32.1,BTC+FB+NMC,202Th,3441,0.06
2026-05-15,1.23,36.9,BTC+FB+NMC,202Th,3441,0.06
2026-05-16,0.8,24.0,BTC+FB+NMC,202Th,3441,0.06
2026-05-17,0.8,24.0,BTC+FB+NMC,202Th,3441,0.06
2026-05-18,0.8,24.0,BTC+FB+NMC,202Th,3441,0.06
2026-05-19,0.59,17.7,BTC+FB+NMC,202Th,3441,0.06
2026-05-20,0.56,16.8,BTC+FB+NMC,202Th,3441,0.06
2026-05-21,0.63,18.9,BTC+FB+NMC,202Th,3441,0.06
2026-05-22,0.64,19.2,BTC+FB+NMC,202Th,3441,0.06
2026-05-23,0.64,19.2,BTC+FB+NMC,202Th,3441,0.06
