date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,3.13,93.9,ETC,15Gh,3100,0.06
2026-05-10,3.13,93.9,ETC,15Gh,3100,0.06
2026-05-11,3.13,93.9,ETC,15Gh,3100,0.06
2026-05-12,3.83,114.9,ETC,15Gh,3100,0.06
2026-05-13,3.64,109.2,ETC,15Gh,3100,0.06
2026-05-14,3.04,91.2,ETC,15Gh,3100,0.06
2026-05-15,3.46,103.8,ETC,15Gh,3100,0.06
2026-05-16,3.26,97.8,ETC,15Gh,3100,0.06
2026-05-17,3.26,97.8,ETC,15Gh,3100,0.06
2026-05-18,3.26,97.8,ETC,15Gh,3100,0.06
2026-05-19,2.83,84.9,ETC,15Gh,3100,0.06
2026-05-20,2.85,85.5,ETC,15Gh,3100,0.06
2026-05-21,3.26,97.8,ETC,15Gh,3100,0.06
2026-05-22,3.34,100.2,ETC,15Gh,3100,0.06
2026-05-23,3.34,100.2,ETC,15Gh,3100,0.06
2026-05-24,3.34,100.2,ETC,15Gh,3100,0.06
2026-05-25,2.69,80.7,ETC,15Gh,3100,0.06
2026-05-26,2.76,82.8,ETC,15Gh,3100,0.06
2026-05-27,2.07,62.1,ETC,15Gh,3100,0.06
2026-05-28,2.37,71.1,ETC,15Gh,3100,0.06
2026-05-29,1.94,58.2,ETC,15Gh,3100,0.06
2026-05-30,1.94,58.2,ETC,15Gh,3100,0.06
2026-05-31,1.94,58.2,ETC,15Gh,3100,0.06
2026-06-01,1.85,55.5,ETC,15Gh,3100,0.06
2026-06-02,1.85,55.5,ETC,15Gh,3100,0.06
2026-06-03,2.04,61.2,ETC,15Gh,3100,0.06
2026-06-04,1.84,55.2,ETC,15Gh,3100,0.06
2026-06-05,1.3,39.0,ETC,15Gh,3100,0.06
2026-06-06,1.3,39.0,ETC,15Gh,3100,0.06
2026-06-07,1.3,39.0,ETC,15Gh,3100,0.06
