date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,11.58,347.4,BTC+FB+NMC,580Th,5510,0.06
2026-05-10,11.58,347.4,BTC+FB+NMC,580Th,5510,0.06
2026-05-11,11.58,347.4,BTC+FB+NMC,580Th,5510,0.06
2026-05-12,11.87,356.1,BTC+FB+NMC,580Th,5510,0.06
2026-05-13,11.85,355.5,BTC+FB+NMC,580Th,5510,0.06
2026-05-14,11.46,343.8,BTC+FB+NMC,580Th,5510,0.06
2026-05-15,11.91,357.3,BTC+FB+NMC,580Th,5510,0.06
2026-05-16,10.67,320.1,BTC+FB+NMC,580Th,5510,0.06
2026-05-17,10.67,320.1,BTC+FB+NMC,580Th,5510,0.06
2026-05-18,10.67,320.1,BTC+FB+NMC,580Th,5510,0.06
2026-05-19,10.09,302.7,BTC+FB+NMC,580Th,5510,0.06
2026-05-20,10.01,300.3,BTC+FB+NMC,580Th,5510,0.06
2026-05-21,10.19,305.7,BTC+FB+NMC,580Th,5510,0.06
2026-05-22,10.23,306.9,BTC+FB+NMC,580Th,5510,0.06
2026-05-23,10.23,306.9,BTC+FB+NMC,580Th,5510,0.06
2026-05-24,10.23,306.9,BTC+FB+NMC,580Th,5510,0.06
2026-05-25,10.08,302.4,BTC+FB+NMC,580Th,5510,0.06
2026-05-26,9.99,299.7,BTC+FB+NMC,580Th,5510,0.06
2026-05-27,9.75,292.5,BTC+FB+NMC,580Th,5510,0.06
2026-05-28,9.42,282.6,BTC+FB+NMC,580Th,5510,0.06
2026-05-29,9.11,273.3,BTC+FB+NMC,580Th,5510,0.06
2026-05-30,9.11,273.3,BTC+FB+NMC,580Th,5510,0.06
2026-05-31,9.11,273.3,BTC+FB+NMC,580Th,5510,0.06
2026-06-01,8.8,264.0,BTC+FB+NMC,580Th,5510,0.06
2026-06-02,8.8,264.0,BTC+FB+NMC,580Th,5510,0.06
2026-06-03,7.96,238.8,BTC+FB+NMC,580Th,5510,0.06
2026-06-04,7.27,218.1,BTC+FB+NMC,580Th,5510,0.06
2026-06-05,6.33,189.9,BTC+FB+NMC,580Th,5510,0.06
2026-06-06,6.33,189.9,BTC+FB+NMC,580Th,5510,0.06
