date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,0.84,25.2,ETC,3.8Gh,760,0.06
2026-05-10,0.84,25.2,ETC,3.8Gh,760,0.06
2026-05-11,0.84,25.2,ETC,3.8Gh,760,0.06
2026-05-12,1.02,30.6,ETC,3.8Gh,760,0.06
2026-05-13,0.97,29.1,ETC,3.8Gh,760,0.06
2026-05-14,0.82,24.6,ETC,3.8Gh,760,0.06
2026-05-15,0.93,27.9,ETC,3.8Gh,760,0.06
2026-05-16,0.87,26.1,ETC,3.8Gh,760,0.06
2026-05-17,0.87,26.1,ETC,3.8Gh,760,0.06
2026-05-18,0.87,26.1,ETC,3.8Gh,760,0.06
2026-05-19,0.76,22.8,ETC,3.8Gh,760,0.06
2026-05-20,0.77,23.1,ETC,3.8Gh,760,0.06
2026-05-21,0.87,26.1,ETC,3.8Gh,760,0.06
2026-05-22,0.89,26.7,ETC,3.8Gh,760,0.06
2026-05-23,0.89,26.7,ETC,3.8Gh,760,0.06
2026-05-24,0.89,26.7,ETC,3.8Gh,760,0.06
2026-05-25,0.73,21.9,ETC,3.8Gh,760,0.06
2026-05-26,0.75,22.5,ETC,3.8Gh,760,0.06
2026-05-27,0.57,17.1,ETC,3.8Gh,760,0.06
2026-05-28,0.65,19.5,ETC,3.8Gh,760,0.06
2026-05-29,0.54,16.2,ETC,3.8Gh,760,0.06
