date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,8.62,258.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-05-10,8.62,258.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-05-11,8.62,258.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-05-12,7.28,218.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-05-13,7.29,218.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-05-14,7.45,223.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-05-15,7.77,233.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-05-16,7.35,220.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-05-17,7.35,220.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-05-18,7.35,220.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-05-19,7.27,218.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-05-20,7.15,214.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-05-21,6.53,195.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-05-22,6.62,198.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-05-23,6.62,198.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-05-24,6.62,198.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-05-25,6.29,188.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-05-26,6.06,181.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-05-27,6.18,185.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-05-28,5.58,167.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-05-29,5.74,172.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-05-30,5.74,172.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-05-31,5.74,172.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-01,6.24,187.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-02,6.24,187.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-03,6.26,187.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-04,5.7,171.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-05,5.24,157.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-06,5.24,157.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-07,5.24,157.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-08,4.38,131.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-09,4.39,131.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-10,4.23,126.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-11,4.23,126.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-12,4.23,126.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-13,5.18,155.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-14,5.36,160.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-15,5.59,167.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-16,5.21,156.3,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-17,5.32,159.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-18,5.32,159.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-19,5.32,159.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-20,5.32,159.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-21,5.32,159.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-22,5.32,159.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-23,5.32,159.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-24,5.32,159.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-25,5.32,159.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-26,5.32,159.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-27,5.32,159.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-28,5.32,159.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-29,5.32,159.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-06-30,5.32,159.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
2026-07-01,5.32,159.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,25Gh,3625,0.06
