date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,4.36,130.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-05-10,4.36,130.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-05-11,4.36,130.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-05-12,2.72,81.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-05-13,2.74,82.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-05-14,2.93,87.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-05-15,3.32,99.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-05-16,2.8,84.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-05-17,2.8,84.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-05-18,2.8,84.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-05-19,2.71,81.3,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-05-20,2.57,77.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-05-21,1.81,54.3,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-05-22,1.92,57.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-05-23,1.92,57.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-05-24,1.92,57.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-05-25,1.52,45.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-05-26,1.24,37.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-05-27,1.38,41.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-05-28,0.66,19.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-05-29,0.85,25.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-05-30,0.85,25.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-05-31,0.85,25.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-06-01,1.46,43.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-06-02,1.46,43.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-06-03,1.48,44.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-06-04,0.81,24.3,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-06-05,0.25,7.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-06-06,0.25,7.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-06-07,0.25,7.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-06-13,0.16,4.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-06-14,0.39,11.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-06-15,0.67,20.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-06-16,0.2,6.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-06-17,0.34,10.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-06-18,0.34,10.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-06-19,0.34,10.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-06-20,0.34,10.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-06-21,0.34,10.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
2026-06-22,0.34,10.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,30.4Gh,7600,0.06
