date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-06-05,2.16,64.8,BTC+FB+NMC,680Th,9200,0.06
2026-06-06,2.16,64.8,BTC+FB+NMC,680Th,9200,0.06
2026-06-07,2.16,64.8,BTC+FB+NMC,680Th,9200,0.06
2026-06-08,1.86,55.8,BTC+FB+NMC,680Th,9200,0.06
2026-06-09,1.78,53.4,BTC+FB+NMC,680Th,9200,0.06
2026-06-10,1.36,40.8,BTC+FB+NMC,680Th,9200,0.06
2026-06-11,1.36,40.8,BTC+FB+NMC,680Th,9200,0.06
2026-06-12,1.36,40.8,BTC+FB+NMC,680Th,9200,0.06
2026-06-13,2.02,60.6,BTC+FB+NMC,680Th,9200,0.06
2026-06-14,4.58,137.4,BTC+FB+NMC,680Th,9200,0.06
2026-06-15,4.92,147.6,BTC+FB+NMC,680Th,9200,0.06
2026-06-16,5.02,150.6,BTC+FB+NMC,680Th,9200,0.06
2026-06-17,5.2,156.0,BTC+FB+NMC,680Th,9200,0.06
2026-06-18,5.2,156.0,BTC+FB+NMC,680Th,9200,0.06
2026-06-19,5.2,156.0,BTC+FB+NMC,680Th,9200,0.06
2026-06-20,5.2,156.0,BTC+FB+NMC,680Th,9200,0.06
2026-06-21,5.2,156.0,BTC+FB+NMC,680Th,9200,0.06
2026-06-22,5.2,156.0,BTC+FB+NMC,680Th,9200,0.06
2026-06-23,5.2,156.0,BTC+FB+NMC,680Th,9200,0.06
2026-06-24,5.2,156.0,BTC+FB+NMC,680Th,9200,0.06
